0.000000   100.000000   new 1567.099033 100.000000
11846295.696661 100.000000   new 11855541.466434 100.000000
11857313.229259 100.000000   new 11857105.149272 100.000000
11858876.865570 100.000000   new 11890702.424446 100.000000
11892474.082443 100.000000   new 11892266.063196 100.000000
11894037.718558 100.000000   new 11908801.608851 100.000000
11910595.125987 100.000000   new 11910321.733696 100.000000
11912117.484780 100.000000   new 11913961.268400 100.000000
11915759.190549 100.000000   new 11915524.887028 100.000000
11917322.826808 100.000000   new 12016327.886980 100.000000
12018124.334869 100.000000   new 12017891.546292 100.000000
12019687.968485 100.000000   new 12031604.804745 100.000000
12033419.991565 100.000000   new 12033166.301619 100.000000
12034983.627712 100.000000   new 12041290.622752 100.000000
12043127.098333 100.000000   new 12042850.578738 100.000000
12044690.734644 100.000000   new 12047696.969714 100.000000
12049535.047695 100.000000   new 12049261.276890 100.000000
12051098.683673 100.000000   new 12054076.864080 100.000000
12055912.190689 100.000000   new 12055641.175890 100.000000
12057475.827559 100.000000   new 12063069.161397 100.000000
12064902.788403 100.000000   new 12064586.437626 100.000000
12066425.144216 100.000000   new 12066841.444027 100.000000
12068681.882402 100.000000   new 12068404.693313 100.000000
12070245.518713 100.000000   new 12075646.912968 100.000000
12077482.106434 100.000000   new 12077211.766612 100.000000
12079045.742476 100.000000   new 12092390.552004 100.000000
12094226.191098 100.000000   new 12093912.580387 100.000000
12095748.547170 100.000000   new 12096167.582575 100.000000
12098005.285170 100.000000   new 12097730.830914 100.000000
12099568.918681 100.000000   new 12101407.957012 100.000000
12103243.894710 100.000000   new 12102972.509118 100.000000
12104807.530969 100.000000   new 12106476.765752 100.000000
12108330.946221 100.000000   new 12108031.895952 100.000000
12109894.582269 100.000000   new 12116495.487798 99.999999 
12118356.572088 99.999999    new 12118059.419875 99.999999 
12119920.208136 99.999999    new 12138037.223126 99.999999 
12139899.378443 99.999999    new 12139600.751926 99.999999 
12141463.014413 99.999999    new 12145161.840206 99.999999 
12147024.457409 99.999999    new 12146725.377156 99.999999 
12148588.090882 99.999999    new 12153581.024906 99.999999 
12155442.704318 99.999999    new 12155144.896835 99.999999 
12157006.340433 99.999999    new 12163923.318017 99.999999 
12165783.153543 99.999999    new 12165487.240680 99.999999 
12167346.789385 99.999999    new 12172618.121920 99.999999 
12174476.176463 99.999999    new 12174182.085254 99.999999 
12176039.812669 99.999999    new 12180291.901082 99.999999 
12182148.342091 99.999999    new 12181855.866615 99.999999 
12183711.978192 99.999999    new 12187307.400296 99.999999 
12189161.906553 99.999999    new 12188871.497151 99.999999 
12190725.542628 99.999999    new 12206959.624229 99.999999 
12208813.317251 99.999999    new 12208481.789873 99.999999 
12210335.673323 99.999999    new 12212189.199444 99.999999 
12214045.150129 99.999999    new 12213719.875191 99.999999 
12215577.981685 99.999999    new 12227549.121868 99.999999 
12229404.879490 99.999999    new 12229069.099678 99.999999 
12230927.238226 99.999999    new 12231631.833537 99.999999 
12233511.734702 99.999999    new 12233164.791518 99.999999 
12235044.565314 99.999999    new 12436023.392557 99.999999 
12437901.312840 99.999999    new 12437587.029323 99.999999 
12439464.946260 99.999999    new 12450565.667321 99.999999 
12452442.259387 99.999999    new 12452129.463304 99.999999 
12454005.895112 99.999999    new 12456674.825949 99.999999 
12458572.965510 99.999999    new 12458231.025839 99.999999 
12460136.601690 99.999999    new 12470798.802399 99.999999 
12472702.980955 99.999999    new 12472362.612320 99.999999 
12474266.617135 99.999999    new 12495288.579507 99.999999 
12497192.542060 99.999999    new 12496852.218257 99.999999 
12498756.178135 99.999999    new 12515560.350355 99.999999 
12517463.739085 99.999999    new 12517124.034058 99.999999 
12519027.375198 99.999999    new 12526259.034170 99.999999 
12528161.518795 99.999999    new 12527822.816758 99.999999 
12529725.154812 99.999999    new 12535945.017913 99.999999 
12537866.777342 99.999999    new 12537504.920933 99.999999 
12539430.413489 99.999999    new 12627266.225505 99.999999 
12629190.970231 99.999999    new 12628788.569175 99.999999 
12630713.328872 99.999999    new 12650375.800696 99.999999 
