ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 21.562000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 8.364750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.742625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 8.406875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 6.787250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 4.134625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.410500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 5.791000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 9.954625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 15.665500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 5.245125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 20.737625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 3.021125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.992625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.284250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.849875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.767625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 2.107875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.586625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.992000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.351125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 2.871625 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 1.963500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 3.372375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 50.757375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.753000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 68.180375 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.766750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.326000 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 73.276125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 6.424250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 7.427875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 2.574750 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.323875 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.410500 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 3.199125 current 259.291567,  charge =     0, alpha = 2422560000000000
ACT_Int 0.332250 current 259.291567,  charge =     0, alpha = 2422560000000000
