interval 0.455922   current 14668.827097   old_charge 360628272   old_soc 99.999985   new_charge 11136743   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 360768709   old_soc 99.999985   new_charge 11138309   new_soc 100.000000
interval 0.078086   current 14668.827097   old_charge 360770273   old_soc 99.999985   new_charge 11162364   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 360794326   old_soc 99.999985   new_charge 11163873   new_soc 100.000000
interval 0.015452   current 14668.827097   old_charge 360795848   old_soc 99.999985   new_charge 11168637   new_soc 100.000000
interval 0.004986   current 14668.827097   old_charge 360800608   old_soc 99.999985   new_charge 11170166   new_soc 100.000000
interval 0.186772   current 14668.827097   old_charge 360802144   old_soc 99.999985   new_charge 11227700   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 360859675   old_soc 99.999985   new_charge 11229267   new_soc 100.000000
interval 0.008212   current 14668.827097   old_charge 360861238   old_soc 99.999985   new_charge 11231798   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 360863768   old_soc 99.999985   new_charge 11233307   new_soc 100.000000
interval 0.007850   current 14668.827097   old_charge 360865290   old_soc 99.999985   new_charge 11235725   new_soc 100.000000
interval 0.005076   current 14668.827097   old_charge 360867708   old_soc 99.999985   new_charge 11237291   new_soc 100.000000
interval 1.472970   current 14668.827097   old_charge 360869272   old_soc 99.999985   new_charge 11691033   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 361322989   old_soc 99.999985   new_charge 11692543   new_soc 100.000000
interval 0.011808   current 14668.827097   old_charge 361324511   old_soc 99.999985   new_charge 11696186   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 361328149   old_soc 99.999985   new_charge 11697709   new_soc 100.000000
interval 0.790830   current 14668.827097   old_charge 361329681   old_soc 99.999985   new_charge 11941321   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 361573280   old_soc 99.999985   new_charge 11942832   new_soc 100.000000
interval 0.010130   current 14668.827097   old_charge 361574802   old_soc 99.999985   new_charge 11945956   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 361577922   old_soc 99.999985   new_charge 11947480   new_soc 100.000000
